subjective	1000	545	549	flaw	1000-subjective0	negative	related
aspect	1000	557	563	design	1000-aspect1	unknown	related
aspect	1000	788	797	first one	1000-aspect2	unknown	foreign
subjective	1000	812	827	electronic flaw	1000-subjective3	negative	related
aspect	1000	97	110	on/off button	1000-aspect4	unknown	related
aspect	1000	132	145	other buttons	1000-aspect5	unknown	related
aspect	1000	147	160	brew strength	1000-aspect6	unknown	related
aspect	1000	172	183	temperature	1000-aspect7	unknown	related
aspect	1000	234	250	warming platform	1000-aspect8	unknown	related
aspect	1000	271	275	coil	1000-aspect9	unknown	related
aspect	1000	304	309	clock	1000-aspect10	unknown	foreign
aspect	1000	421	427	Amazon	1000-aspect11	unknown	related
aspect	1000	487	495	that one	1000-aspect12	unknown	related
aspect	1000	712	721	same unit	1000-aspect13	unknown	related
aspect	1000	761	766	works	1000-aspect14	unknown	related
aspect	1000	842	855	Melitta brand	1000-aspect15	unknown	related
aspect	1000	912	927	Melitta filters	1000-aspect16	unknown	related
aspect	1000	977	983	coffee	1000-aspect17	unknown	related
aspect	1000	998	1022	Mr. Coffee style filters	1000-aspect18	unknown	foreign
subjective	1000	663	664	3	1000-subjective19	neutral	related
aspect	1000	34	48	particular one	1000-aspect20	unknown	foreign
subjective	1000	767	771	fine	1000-subjective21	positive	related
subjective	1000	831	837	prefer	1000-subjective22	positive	related
subjective	1000	867	871	like	1000-subjective23	positive	related
aspect	1000	872	874	it	1000-aspect24	unknown	related
subjective	1000	965	976	much better	1000-subjective25	positive	related
subjective	1000	0	5	Great	1000-subjective26	unknown	related
subjective	1000	0	28	Great, if it worked properly	1000-subjective27	neutral	related
subjective	1000	55	78	not turn on immediately	1000-subjective28	negative	related
subjective	1000	315	330	losing the time	1000-subjective29	negative	related
aspect	1001	6	17	Coffe maker	1001-aspect0	unknown	related
aspect	1001	50	54	this	1001-aspect1	unknown	related
aspect	1001	64	66	It	1001-aspect2	unknown	related
aspect	1001	111	113	it	1001-aspect3	unknown	related
subjective	1001	32	40	thrilled	1001-subjective4	positive	related
subjective	1001	67	86	just want he wanted	1001-subjective5	positive	related
subjective	1001	101	110	recommend	1001-subjective6	positive	related
subjective	1001	0	5	Great	1001-subjective7	positive	related
aspect	1002	8	11	use	1002-aspect0	unknown	related
aspect	1002	97	118	previous coffee maker	1002-aspect1	unknown	foreign
aspect	1002	143	150	feature	1002-aspect2	unknown	related
aspect	1002	158	177	3 strength settings	1002-aspect3	unknown	related
subjective	1002	0	4	Easy	1002-subjective4	positive	related
subjective	1002	68	72	Easy	1002-subjective5	positive	related
subjective	1002	77	87	less messy	1002-subjective6	positive	related
subjective	1002	121	138	particularly like	1002-subjective7	positive	related
aspect	1003	0	13	DeLongi maker	1003-aspect0	unknown	related
aspect	1003	38	40	it	1003-aspect1	unknown	related
aspect	1003	70	76	carafe	1003-aspect2	unknown	foreign
aspect	1003	132	139	product	1003-aspect3	unknown	related
subjective	1003	14	32	works like a champ	1003-subjective4	positive	related
subjective	1003	33	37	Love	1003-subjective5	positive	related
subjective	1003	50	54	wish	1003-subjective6	negative	related
subjective	1003	98	112	high recommend	1003-subjective7	positive	related
subjective	1003	118	131	Solidly built	1003-subjective8	positive	related
aspect	1004	28	39	coffeemaker	1004-aspect0	unknown	related
aspect	1004	112	126	hot water side	1004-aspect1	unknown	related
aspect	1004	211	231	carafe warming plate	1004-aspect2	unknown	related
aspect	1004	242	245	low	1004-aspect3	unknown	related
aspect	1004	247	253	medium	1004-aspect4	unknown	related
aspect	1004	258	270	high setting	1004-aspect5	unknown	related
aspect	1004	315	321	coffee	1004-aspect6	unknown	related
aspect	1004	603	609	carafe	1004-aspect7	unknown	related
subjective	1004	0	12	very pleased	1004-subjective8	positive	related
subjective	1004	66	78	very pleased	1004-subjective9	positive	related
subjective	1004	91	102	no problems	1004-subjective10	positive	related
subjective	1004	128	143	Very convenient	1004-subjective11	positive	related
aspect	1004	152	157	water	1004-aspect12	unknown	related
subjective	1004	161	169	very hot	1004-subjective13	positive	related
subjective	1004	175	187	no bad taste	1004-subjective14	positive	related
subjective	1004	191	206	especially like	1004-subjective15	positive	related
subjective	1004	322	332	plenty hot	1004-subjective16	positive	related
subjective	1004	567	598	Not necessary with this machine	1004-subjective17	positive	related
