aspect	2304	8	14	Design	2304-aspect0	unknown	related
aspect	2304	32	46	Funktionalität	2304-aspect1	unknown	related
aspect	2304	63	70	Toaster	2304-aspect2	unknown	related
aspect	2304	113	126	Gehäusedesign	2304-aspect3	unknown	related
aspect	2304	159	166	Bauform	2304-aspect4	unknown	related
aspect	2304	186	195	Edelstahl	2304-aspect5	unknown	related
aspect	2304	246	252	Design	2304-aspect6	unknown	related
aspect	2304	265	272	Gehäuse	2304-aspect7	unknown	related
aspect	2304	394	401	Toaster	2304-aspect8	unknown	related
aspect	2304	423	429	Rösten	2304-aspect9	unknown	related
aspect	2304	439	448	Aufwärmen	2304-aspect10	unknown	related
aspect	2304	453	461	Auftauen	2304-aspect11	unknown	related
aspect	2304	466	472	Toasts	2304-aspect12	unknown	related
aspect	2304	489	501	Brotscheiben	2304-aspect13	unknown	related
aspect	2304	579	598	einseitig zu rösten	2304-aspect14	unknown	related
aspect	2304	664	672	Funktion	2304-aspect15	unknown	related
aspect	2304	729	738	Röstgrade	2304-aspect16	unknown	related
aspect	2304	758	770	Drehschalter	2304-aspect17	unknown	related
aspect	2304	896	911	Brötchenaufsatz	2304-aspect18	unknown	related
aspect	2304	1126	1130	Form	2304-aspect19	unknown	related
aspect	2304	1149	1157	Brötchen	2304-aspect20	unknown	related
aspect	2304	1262	1270	Piep Ton	2304-aspect21	unknown	related
aspect	2304	1356	1366	Lautstärke	2304-aspect22	unknown	related
aspect	2304	1507	1514	Philips	2304-aspect23	unknown	related
aspect	2304	1550	1564	Funktionalität	2304-aspect24	unknown	related
aspect	2304	1569	1575	Design	2304-aspect25	unknown	related
aspect	2304	1707	1744	Phillips HD 2698/00 Avance Collection	2304-aspect26	unknown	related
subjective	2304	0	7	Schönes	2304-subjective27	positive	related
subjective	2304	19	31	durchdachter	2304-subjective28	positive	related
subjective	2304	127	135	angenehm	2304-subjective29	positive	related
subjective	2304	150	158	schlanke	2304-subjective30	positive	related
subjective	2304	221	228	schönes	2304-subjective31	positive	related
subjective	2304	233	245	hochwertiges	2304-subjective32	positive	related
subjective	2304	273	282	am besten	2304-subjective33	positive	related
subjective	2304	307	320	wärmeisoliert	2304-subjective34	positive	related
subjective	2304	673	686	funktionierte	2304-subjective35	positive	related
subjective	2304	858	869	ausreichend	2304-subjective36	neutral	related
subjective	2304	870	876	Klasse	2304-subjective37	positive	related
subjective	2304	923	933	integriert	2304-subjective38	positive	related
subjective	2304	1116	1125	längliche	2304-subjective39	positive	related
aspect	2304	693	702	Toastbrot	2304-aspect40	unknown	related
aspect	2304	1174	1181	Aufsatz	2304-aspect41	unknown	related
subjective	2304	1199	1213	keine Probleme	2304-subjective42	positive	related
subjective	2304	1247	1252	stört	2304-subjective43	negative	related
subjective	2304	1576	1601	wunderbar unter einen Hut	2304-subjective44	positive	related
subjective	2304	1524	1544	runden Gesamtprodukt	2304-subjective45	positive	related
subjective	2304	1614	1658	etwas anderes als einen Durchschnittstoaster	2304-subjective46	positive	related
aspect	2322	7	12	sache	2322-aspect0	unknown	related
aspect	2322	20	25	preis	2322-aspect1	unknown	related
aspect	2322	91	104	OR.verpackung	2322-aspect2	unknown	related
aspect	2322	113	120	toaster	2322-aspect3	unknown	related
aspect	2322	145	154	bediennen	2322-aspect4	unknown	related
subjective	2322	0	6	supper	2322-subjective5	positive	related
subjective	2322	13	19	supper	2322-subjective6	positive	related
subjective	2322	26	42	supper schnell:)	2322-subjective7	positive	related
subjective	2322	56	64	empfelen	2322-subjective8	positive	related
subjective	2322	66	80	supper schnell	2322-subjective9	positive	related
subjective	2322	85	90	tolle	2322-subjective10	positive	related
subjective	2322	132	141	wunderbar	2322-subjective11	positive	related
subjective	2322	159	171	ganz schmall	2322-subjective12	positive	related
subjective	2322	187	189	:)	2322-subjective13	positive	related
subjective	2322	212	220	empfelen	2322-subjective14	positive	related
aspect	2341	0	7	Artikel	2341-aspect0	unknown	related
aspect	2341	15	25	Lieferzeit	2341-aspect1	unknown	related
aspect	2341	41	48	Toaster	2341-aspect2	unknown	related
aspect	2341	98	105	toastet	2341-aspect3	unknown	related
aspect	2341	137	145	Scheiben	2341-aspect4	unknown	related
aspect	2341	232	241	Lieferung	2341-aspect5	unknown	related
subjective	2341	8	13	super	2341-subjective6	positive	related
subjective	2341	32	36	lang	2341-subjective7	negative	related
subjective	2341	53	58	super	2341-subjective8	positive	related
subjective	2341	60	73	sieht gut aus	2341-subjective9	positive	related
subjective	2341	78	93	klappert nichts	2341-subjective10	negative	related
subjective	2341	106	117	zuverlässig	2341-subjective11	positive	related
subjective	2341	293	303	eine Woche	2341-subjective12	negative	related
subjective	2341	371	380	zufrieden	2341-subjective13	positive	related
subjective	2341	390	412	nichts mehr zu meckern	2341-subjective14	positive	related
aspect	2347	12	17	Farbe	2347-aspect0	unknown	related
aspect	2347	127	134	toastet	2347-aspect1	unknown	related
aspect	2347	164	166	er	2347-aspect2	unknown	related
aspect	2347	119	126	Toaster	2347-aspect3	unknown	related
subjective	2347	35	51	wie auf dem Bild	2347-subjective4	positive	related
subjective	2347	0	7	Perfekt	2347-subjective5	positive	related
subjective	2347	144	161	absolut fabelhaft	2347-subjective6	positive	related
subjective	2347	171	179	5 Sterne	2347-subjective7	positive	related
