<s> and how pretty is it, eh? #catedral # | PIC </s> | santiagodecompostela | 2
<s> wait for the daddy to get super be for # | </s> | santiagodecompostela | 2
<s> face, my big ben, mine | my and england </s> | torre eiffel | 2
<s> and how pretty is it, eh? #catedral # | PIC </s> | santiagodecompostela | 2
<s> | the Cathedral nights had to be a lot of celebration ...) # viñeta URL. jpg ... via: @obichero </s> | santiago de compostela | 2
<s> in | there is an island of integration and respect, find out where! URL </s> | Santiago de Compostela | 2
<s> and there will be to take some tonight in compiles: p - feeling free at | URL </s> | santiago de compostela | 2
<s> course for |, for a good week with my #les </s> | santiago de compostela | 2
<s> @charlyus one week paaaaaaaaaaaaaaaaaaaaaaaaaaaara |: d </s> | santiago de compostela | 2
<s> I'm going to paint my nails: d: d I will do it to | !!!!!! omg will get top </s> | eiffel tower | 2
<s> | aiiin, I sent to make drawings on the mine. :-) </s> | eiffel tower | 2
<s> "@rehmansuelo: kkkkkkkkkkkkkk siim @ji_mara, it cost one of my own, but it's always worth going there: d" (| & coração) rs .. </s> | torre eiffel | 2
<s> | to doing your nails ... I will unravel them one of them </s> | torre eiffel | 2
<s> | in coruña, the board is very well of funds and spaces, but from the point of view of the dynamization, the places are a past. every time I go to the one of the roses (where is @siragr) wondrous session </s> | sagrada familia | 2
<s> I am very proud to do my studies on |. that was not the city of God, but the neighborhood had problems and I always had clear that there was more effort to have the same opportunities as the center. </s> | sagrada familia | 2
<s> a | is one of the neighborhoods with the most personality of A Coruna and a toughest story. a neighborhood of currants, tight and barely with a place. What's wonderful about @unpaismundial and @belen_regueira URL </s> | sagrada familia | 2
<s> the upload to | was an experience. and finally we had a good day </s> | torre eiffel | 2
<i> | We're still celebrating the # holidays! Today we will wait until 22:30 in the Plaza de María pita to enjoy the performance of one of the great representatives of current flamenco, @estrellamorente. Your voice and your goblin will flood the entire square, so do not miss out! PIC </s> | maríapita18 | 2
<s> "| it becomes more welcoming than ever during the holidays," says the mayor, @xulioferreiro, from the balcony of the municipal pazo, before putting "the solidarity of the neighborhood of an open and nearby city" in value. </s> | a coruña | 2
<s> | #seica once, I do not remember when, but the driver said he is the best in the world. </s> | a coruña | 2
<s> #xustizasocial | is a city that does not forget people without resources, and actively combat exclusion. the figures show: in 3 years, we increased the social investment of the city council by 10%, up to 26 million euros. </s> | a coruña | 2
<s> | it's gorgeous. It is so beautiful that neither the mayor nor the president of the depor to eclipse. PIC </s> | a coruña | 2
<i> | I forgot to comment on it, it's lovely. it surprised me <3 </s> | a coruña | 2
<s> | If you are a lover of good food, you'll find the best flavors of the sea and the land, delicious cheeses and an excellent area of ​​tapas. If you do not believe us, visit the @saboreaespana website and discover all the good things that our city says about URLs </s> | acoruña | 2
<s> | that finger makes many miracles. at last you can have a cathedral and dedicated the unknown finger of @mareatlantica PIC </s> | a coruña | 2
<s> Little by little, | it's being a friendlier city for bicycles. for a #mobilidadesostible URL ... </s> | a coruña | 2
<s> proud I am that @ceosgalegos echoes the timelapse that summarizes a night of observation with the classmates of the vega club | URL ... </s> | #santiago de #compostela | 1
<s> in a month we will have a freebus here next to |, so what are you waiting for to present a talk? URL ... </s> | Santiago de Compostela | 1
<s> | and today we have an appointment at the airport at 12:45 ... guess who back home: d PIC </s> | santiago de compostela | 1
<s> @robertojustogon a hug from |! (I am with my Scottish man who is also a Galician speaker): d PIC </s> | santiago de compostela | 1
<s> November 15, @sperezcruz and Raül Fdez. looked at | There is a lot, but I write down! </s> | santiago de compostela | 1
<s> decks - | in spades ... </s> | santiago de compostela | 1
<s>) rt @temposgalegos the council of | will install a courtroom in its dependencies URL-37 </s> | santiago de compostela | 1
<s> | afternoon imparting #rrss course on no #csc sources #. there is a PIC four-hour session </s> | santiagodecompostela | 1
<i> | I found a sweatshirt for college instead of a university in Compostela: d: d: d </s> | santiago de compostela | 1
<s> @andressuareztwi concert on April 27 in the capital hall (|). It will be a great night !! happy PIC </s> | santiago de compostela | 1
<s> and tomorrow we will have to make a visit to @ manuellage a |, that I know I miss a lot </s> | santiago de compostela | 1
<s> | finally decent cinemas in @ascancelas # without having to go to Coruna or #marinedacity! </s> | santiagodecompostela | 1
<s> today we tell you something about a campaign with which we collaborate from | what do you think? URL </s> | #santiago of #compostela | 1
<s> renche - foz, cebreiro - |, samos - ponferrada and go up port ancares, many km after next saturday </s> | santiago de compostela | 1
<i> | ix short festival, all with them! very #savabavida and with many #corazonsverdes)) URL </s> | santiago de compostela | 1
<s> e to |, were you ever on a trip? do you like it : d (@lorenacastell live on URL) </s> | santiago de compostela | 1
<s> @araanx are from a village in ourense, but now I'm studying in | and I live in the center, also </s> | santiago de compostela | 1
<s> @deolindalisboa em corunha or em | </s> | santiago de compostela | 1
<s> Rosalía was born in |, but aunts were raised that lived in perish ... what beauty they brought from Galicia. :-) </s> | santiago de compostela | 1
<s> by the way, to see who goes to Paris and does not take a picture with |. I think they are the only one: d </s> | torre eiffel | 1
<s> thumbnail of | cunhados @casa vitor e daia URL </s> | torre eiffel | 1
<s> | and the side of that, we had a few weeks ago </s> | torre eiffel | 1
<s> | oxe, my twit is dedicated to @ marymb98, to remember me and bring me a France. #milagracias #chochy </s> | torre eiffel | 1
